title,link,score,review,sentiment
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,속는셈치고 다시 사랑을 믿어볼까 했던 영화,0.88023
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,어린왕자를 국민학교 시절에 읽었을때 당신은 아무런 감흥도 받지 못했을것이다 이 영화가 그렇다 국민학교때와 사회인이되서 읽는 어린왕자나 진정 아픈사랑을 해보기 전과 후에 이 영화를 보는것은 정말 그만큼의 차이,0.98134
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,니가 봤으면 좋겠어 그리고 다시 시작했으면 좋겠어,0.97918
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,이 영화를보고 지루하다고하는 사람은 충분히 이해가간다 내가 이 영화를 처음봤을 때 그랬으니까 시점도 왔다갔다였고 되게 조잡해보인다고해야하나 이해가 안갔는데 진짜 연애를 해보고 이별도 경험해본 후에 이영화를 보니,0.47826
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,이 영화는 경험의 조각을 남겨둔 영화 각자가 자신의 경험을 맞춰 완성시킬때 이 영화가 별 다섯게의 점 만점영화가 된다  를 말하지 못했던 그사람을 생각하며 만점주고간다,0.90612
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,케이트 윈슬릿이 기억지우는 과정 버전도 나왔으면좋겠어요,0.83929
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,과거에 이영화를 보고 몇년이 지난 지금 다시보았다 자신이 이해할수 있을때 명작으로 다가오는 영화다 서로 뜨겁게 사랑하였고 언젠가 이별을 한다면 서로 사랑하였던 기억까지 의미가 없어지는 것일까,0.98407
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,인간이 얼마나 나약한지 잘표현한 영화 기억을 지우고 싶어 하지만 막상 지우려니 싫고 아픈추억을 삭제하고싶지만 동시에 그 추억을 놓치기 싫어하는 아주 잘표현한 영화입니다 아 정말 아직 못보신분들 정말 추천합니다 이,0.99784
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,엉망진창이 되어버린 사랑 모두들 경험했으리라 본다 그런데 생각해보면 행복했었고 좋았었지 그런데 여전히 엉망진창이고 정말로 엉망진창이라 끝났어 그럼에도 사랑했었냐고 묻는다면 어 사랑했었지 그리고 지,0.00974
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,아직 못보신 분들 부럽습니다,0.99071
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,액션스릴러 장르만 보다가 우연히 접하게되어 보게된영화 지금 결혼년이혼을 준비하고있는 나로써 싸울때 서로험담만하는 모습이 왠지 모르게씁슬하고 불편하게 느껴진다 우리도 사랑했던 시절이있었는데 조금씩  기억에서,0.99289
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,우리 구면인가요 이말은 작업용 맨트가 아니다 처음보는데 전혀 어색하지 않고 편하고 좋다면 그건 이영화가 말하는 운명적인 만남이다 절때 그사람을 놓지지 말자 설령 사귀면서  그사람의 ,0.96877
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,어떻게 끝나는지를 아는데 시작할 수 있는걸까,0.32791
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,이 영화에서 부족한 것은 오직 하나 나의 경험이었다 잔잔하지만 강하고 알 것 같지만 또 모르겠다 이 영화와 함께할 앞으로가 기대된다 이걸 다시 찾게 되는 일이 분명 있겠지 앞으로 몇 번이나 다시 보게 될까,0.99754
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,클렘 시간이 얼마 남지 않았어우린 어떻게 해야 하지조엘 ,0.17555
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,9,니가 없는 곳은 기억나지 않아 정말 좋은 영화,0.9826
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,현대인들은 사랑을 좀 가볍게 본다 사랑은 변하고 움직이는거라고근데 그게 아니라는걸 이 영화가 말해준다변하고 움직이는건 사랑이 아니다 사랑은 절대적인 것이라서 변하거나 움직이지 않는다불완전한 인간이기에 완전한 ,0.94676
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,대학 새내기 때 봤던 영화 뒤통수 맞은 듯한 느낌이 아직도 생생하다 멜로영화 중 단연 최고로 꼽는다,0.98706
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,그녀와 처음 만나던 스무살의 나이에 처음본 영화 그냥 재미있는 소재의 영화구나 싶었다그녀와 헤어진 대 중반의 나이 이영화를 다시보며 눈물을 펑펑 흘리고 말았다대가된지금그녀와 난 결국 결혼을했지만 가끔 이영,0.99714
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,9,실연의 아픔은 지우고싶어도추억은 간직하고싶다는게 요점이지,0.34279
이터널 선샤인,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=38444&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=3,10,무슨 말이 더 필요하겠어 이렇게 여러번 봐도 먹먹한데,0.89404
